date,regime,portfolio_value,cash,open_positions
2019-06-28,Recovery,99794034.42020783,62582917.420207836,7
2019-07-01,Narrow Bull,99894122.42020783,62582917.420207836,7
2019-07-02,Narrow Bull,101619411.42020783,62582917.420207836,7
2019-07-03,Bear,101074348.42020783,62582917.420207836,7
2019-07-04,Bear,101189514.42020783,62582917.420207836,7
2019-07-05,Bear,100921057.42020783,62582917.420207836,7
2019-07-08,Bear,99935509.5338442,66358216.5338442,5
2019-07-09,Bear,99845010.5338442,66358216.5338442,5
2019-07-10,Bear,100105720.5338442,66358216.5338442,5
2019-07-11,Bear,100281864.5338442,66358216.5338442,5
2019-07-12,Bear,100196815.5338442,66358216.5338442,5
2019-07-15,Bear,101632030.5338442,66358216.5338442,5
2019-07-16,Bear,101393504.50293511,82182852.50293511,4
2019-07-17,Bear,100862585.0149351,88438525.0149351,3
2019-07-18,Bear,99979215.0149351,88438525.0149351,3
2019-07-19,Recovery,99757799.95220782,69057117.95220782,13
2019-07-22,Narrow Bull,99857808.95220782,69057117.95220782,13
2019-07-23,Narrow Bull,99338326.95220782,69057117.95220782,13
2019-07-24,Bear,98982324.95220782,69057117.95220782,13
2019-07-25,Bear,98871223.95220782,69057117.95220782,13
2019-07-26,Bear,98651554.74584419,70756104.74584419,12
2019-07-29,Bear,97477718.44538964,72214936.44538964,11
2019-07-30,Bear,97574679.44538964,72214936.44538964,11
2019-07-31,Bear,97229956.44379874,78361366.44379874,10
2019-08-01,Bear,97200419.85529874,79843934.85529874,9
2019-08-02,Bear,97178566.50238965,80738270.50238965,8
2019-08-05,Bear,96697041.58148056,84532735.58148056,6
2019-08-06,Bear,96389527.57266238,89422177.57266238,3
2019-08-07,Bear,96322577.57266238,89422177.57266238,3
2019-08-08,Bear,96353757.57266238,89422177.57266238,3
2019-08-09,Bear,96430737.57266238,89422177.57266238,3
2019-08-12,Bear,96383947.57266238,89422177.57266238,3
2019-08-13,Bear,96382947.57266238,89422177.57266238,3
2019-08-14,Bear,96320077.57266238,89422177.57266238,3
2019-08-16,Bear,96297665.78970784,92267165.78970784,2
2019-08-19,Bear,96436165.78970784,92267165.78970784,2
2019-08-20,Bear,96518665.78970784,92267165.78970784,2
2019-08-21,Bear,96594665.78970784,92267165.78970784,2
2019-08-22,Bear,96603165.78970784,92267165.78970784,2
2019-08-23,Bear,96709665.78970784,92267165.78970784,2
2019-08-26,Bear,96694665.78970784,92267165.78970784,2
2019-08-27,Bear,96801665.78970784,92267165.78970784,2
2019-08-28,Bear,96745665.78970784,92267165.78970784,2
2019-08-29,Bear,96643165.78970784,92267165.78970784,2
2019-08-30,Broad Bull,96600448.67542213,80338560.67542213,5
2019-09-02,Narrow Bull,96920823.7468507,76749991.7468507,6
2019-09-03,Narrow Bull,97192507.7468507,76749991.7468507,6
2019-09-04,Narrow Bull,97002781.7468507,76749991.7468507,6
2019-09-05,Narrow Bull,96995431.7468507,76749991.7468507,6
2019-09-06,Broad Bull,96794563.7468507,76749991.7468507,6
2019-09-09,Broad Bull,96861373.7468507,76749991.7468507,6
2019-09-10,Broad Bull,96889947.7468507,76749991.7468507,6
2019-09-11,Broad Bull,97142771.7468507,76749991.7468507,6
2019-09-16,Broad Bull,97538921.7468507,76749991.7468507,6
2019-09-17,Broad Bull,97405559.7468507,76749991.7468507,6
2019-09-18,Broad Bull,97361137.7468507,76749991.7468507,6
2019-09-19,Broad Bull,97402187.7468507,76749991.7468507,6
2019-09-20,Broad Bull,97532951.7468507,76749991.7468507,6
2019-09-23,Broad Bull,97513733.7468507,76749991.7468507,6
2019-09-24,Broad Bull,97769591.7468507,76749991.7468507,6
2019-09-25,Narrow Bull,97365983.2468507,78484273.2468507,5
2019-09-26,Narrow Bull,97224693.77607147,72105512.77607147,6
2019-09-27,Narrow Bull,96982788.77607147,72105512.77607147,6
2019-09-30,Recovery,96834353.8444481,73704747.8444481,8
2019-10-01,Recovery,97000723.8444481,73704747.8444481,8
2019-10-02,Bear,97164017.8444481,73704747.8444481,8
2019-10-04,Bear,96763883.8444481,73704747.8444481,8
2019-10-07,Bear,96529609.8444481,73704747.8444481,8
2019-10-08,Recovery,96490483.8444481,73704747.8444481,8
2019-10-10,Bear,96235789.8444481,73704747.8444481,8
2019-10-11,Recovery,96230913.8444481,73704747.8444481,8
2019-10-14,Narrow Bull,96117485.8444481,73704747.8444481,8
2019-10-15,Narrow Bull,96550773.8444481,73704747.8444481,8
2019-10-16,Narrow Bull,96713243.8444481,73704747.8444481,8
2019-10-17,Narrow Bull,96879969.8444481,73704747.8444481,8
2019-10-18,Narrow Bull,96923049.8444481,73704747.8444481,8
2019-10-21,Narrow Bull,96773033.8444481,73704747.8444481,8
2019-10-22,Narrow Bull,97040313.8444481,73704747.8444481,8
2019-10-23,Narrow Bull,96952321.8444481,73704747.8444481,8
2019-10-24,Narrow Bull,97165153.8444481,73704747.8444481,8
2019-10-25,Narrow Bull,97209213.8444481,73704747.8444481,8
2019-10-28,Narrow Bull,97371287.8444481,73704747.8444481,8
2019-10-29,Narrow Bull,97347247.8444481,73704747.8444481,8
2019-10-30,Recovery,97428227.8444481,73704747.8444481,8
2019-10-31,Recovery,97832877.8444481,73704747.8444481,8
2019-11-01,Narrow Bull,98102587.8444481,73704747.8444481,8
2019-11-04,Narrow Bull,97945027.8444481,73704747.8444481,8
2019-11-05,Narrow Bull,97883827.8444481,73704747.8444481,8
2019-11-06,Narrow Bull,98029727.8444481,73704747.8444481,8
2019-11-07,Narrow Bull,98145209.8444481,73704747.8444481,8
2019-11-08,Broad Bull,98270629.8444481,73704747.8444481,8
2019-11-11,Narrow Bull,98299481.8444481,73704747.8444481,8
2019-11-12,Narrow Bull,98477703.8444481,73704747.8444481,8
2019-11-13,Broad Bull,98295431.8444481,73704747.8444481,8
2019-11-14,Narrow Bull,98573177.8444481,73704747.8444481,8
2019-11-15,Narrow Bull,98434979.8444481,73704747.8444481,8
2019-11-18,Narrow Bull,98322839.8444481,73704747.8444481,8
2019-11-19,Narrow Bull,98402819.8444481,73704747.8444481,8
2019-11-20,Recovery,97964827.8444481,73704747.8444481,8
2019-11-21,Recovery,97472570.24277279,72132838.24277279,11
2019-11-22,Bear,97322443.24277279,72132838.24277279,11
2019-11-25,Recovery,97601966.24277279,72132838.24277279,11
2019-11-26,Recovery,97732806.24277279,72132838.24277279,11
2019-11-27,Narrow Bull,97541676.24277279,72132838.24277279,11
2019-11-28,Recovery,97475632.24277279,72132838.24277279,11
2019-11-29,Bear,97450422.24277279,72132838.24277279,11
2019-12-02,Bear,97253278.24277279,72132838.24277279,11
2019-12-03,Bear,97355341.24277279,72132838.24277279,11
2019-12-04,Bear,97400725.24277279,72132838.24277279,11
2019-12-05,Bear,97189693.24277279,72132838.24277279,11
2019-12-06,Bear,97374282.24277279,72132838.24277279,11
2019-12-09,Bear,97317447.24277279,72132838.24277279,11
2019-12-10,Bear,97935585.24277279,72132838.24277279,11
2019-12-11,Recovery,98028792.24277279,72132838.24277279,11
2019-12-12,Narrow Bull,98100625.24277279,72132838.24277279,11
2019-12-13,Narrow Bull,97768069.27231824,72747679.27231824,11
2019-12-16,Narrow Bull,97833165.27231824,72747679.27231824,11
2019-12-17,Narrow Bull,98004223.27231824,72747679.27231824,11
2019-12-18,Broad Bull,98127619.27231824,72747679.27231824,11
2019-12-19,Broad Bull,98386363.27231824,72747679.27231824,11
2019-12-20,Broad Bull,98244257.2329546,74659636.2329546,10
2019-12-23,Broad Bull,98070798.2329546,74659636.2329546,10
2019-12-24,Narrow Bull,97777746.2329546,74659636.2329546,10
2019-12-26,Broad Bull,97833607.2329546,74659636.2329546,10
2019-12-27,Narrow Bull,97759808.35129227,72696863.35129227,10
2019-12-30,Narrow Bull,97939335.35129227,72696863.35129227,10
2020-01-02,Narrow Bull,97961079.35129227,72696863.35129227,10
2020-01-03,Narrow Bull,98030863.35129227,72696863.35129227,10
2020-01-06,Recovery,97707645.35129227,72696863.35129227,10
2020-01-07,Narrow Bull,98060300.35129227,72696863.35129227,10
2020-01-08,Recovery,97462542.2941494,72706214.2941494,10
2020-01-09,Narrow Bull,98316582.2941494,72706214.2941494,10
2020-01-10,Narrow Bull,98954031.2941494,72706214.2941494,10
2020-01-13,Narrow Bull,99195013.2941494,72706214.2941494,10
2020-01-14,Narrow Bull,99139274.2941494,72706214.2941494,10
2020-01-15,Narrow Bull,99084549.07342212,75289575.07342212,9
2020-01-16,Narrow Bull,99135805.07342212,75289575.07342212,9
2020-01-17,Narrow Bull,98916759.07342212,75289575.07342212,9
2020-01-20,Narrow Bull,98557009.07342212,75289575.07342212,9
2020-01-21,Narrow Bull,98656859.07342212,75289575.07342212,9
2020-01-22,Broad Bull,99038839.07342212,75289575.07342212,9
2020-01-23,Narrow Bull,99028225.07342212,75289575.07342212,9
2020-01-28,Recovery,97828528.02842212,73566792.02842212,12
2020-01-29,Recovery,97383889.02842212,73566792.02842212,12
